time,scalar_input_0,vector_input_0,vector_input_1,vector_input_2,vector_input_3,vector_input_discrete_0,vector_input_discrete_1,vector_input_discrete_2,vector_input_discrete_3,vector_input_discrete_4
0,0.8151071701538692,0.5026265069021536,0.24136563796456767,0.10318527290851198,0.6015651275257544,0.38595369797848356,0.701677136026791,0.8224896316489365,0.8541024190920742,0.09564028889852783
1,0.7176703422058781,0.9105123960531939,0.599586262594358,0.4356289576580269,0.19166042142567186,0.46917761119547274,0.5281467417272945,0.8481945872344607,0.9567118122955803,0.46810023280577995
2,0.8091733050082929,0.3206667648977778,0.015740049284043933,0.7964969873699217,0.2902533309895887,0.5123427478308439,0.9126837999337618,0.07892794510292234,0.20339654151511521,0.31634957530574137
3,0.7530922782421351,0.27414122579773703,0.29100735157174673,0.8649614250509691,0.6301548356292245,0.6543269232774857,0.7655592787738651,0.9638747160869666,0.10286890599173082,0.9900791077194142
4,0.7976672757171503,0.5379158660722173,0.10826313366479257,0.06615651405812539,0.2804943045671231,0.7638177451143982,0.6142848886538933,0.24367921257232972,0.5363317893231998,0.2938910747624176
5,0.9548159626161111,0.5587004452792728,0.5681059150789032,0.038094626252819674,0.3936517827939954,0.21383845012049696,0.0916700039205931,0.35507289829100774,0.6562456599107548,0.6004718220437905
6,0.6014615158972976,0.4460938862560946,0.395619938196518,0.6731643213250523,0.13090565815464306,0.8579188242893077,0.007990366408142768,0.35572272288152096,0.8448085448775214,0.6619447504713794
7,0.09117515482125604,0.46182024899019847,0.250483973616073,0.04352120335019305,0.6571267635136672,0.9310225670788479,0.14756106361252863,0.8052412350708744,0.4951890140292806,0.23425781864857154
8,0.18686441693852252,0.4821705186138652,0.7776674986331709,0.9629570680293146,0.5085038289609114,0.9098918881604803,0.4939093692725848,0.9390495460094019,0.6176223768793306,0.47542740927386573
9,0.962237101884736,0.24801361505719566,0.11435585191467001,0.6641333786198881,0.15692710571287427,0.6028251172926503,0.11792596175860182,0.07349245620327982,0.6956343043587209,0.24917683719690675
10,0.2224416097633951,0.5878804809416065,0.798940586082027,0.1960379688461017,0.011904704218465123,0.3904166854625073,0.03227449377149205,0.06360579322842108,0.6939903626499457,0.9478791144128876
11,0.8450394910981729,0.12389081104762134,0.13825179613152505,0.24378456244404956,0.11899227908413879,0.7168162439947279,0.9312129699357955,0.7452320542012978,0.7930023557347737,0.4941229792466457
12,0.8149106348767752,0.20575790534336047,0.07925844961444517,0.11756984967820494,0.8525540562859455,0.458598049508229,0.5082047232116004,0.6213355086202723,0.5519499207706206,0.7786570815740704
13,0.5119996921619425,0.795200585052694,0.6201528012708788,0.27190449514434034,0.9239102189037388,0.7686995286137951,0.5090101110216397,0.9595012825073946,0.7047422263151135,0.6907493296589128
14,0.08280264487470435,0.4624950518040144,0.5624603415325247,0.1957637835965521,0.6979950692937382,0.43189434709936525,0.4633346066802896,0.4852912735052568,0.13783258197298764,0.13201646771113995
15,0.7532036505345301,0.9229903067159518,0.48374459794288205,0.31262424831543323,0.04925027120314818,0.7157541778145989,0.6588391323380899,0.4843328364272088,0.340296985838361,0.7684874478593895
16,0.6372720042635679,0.045947034864527114,0.67720765827732,0.9880842439750136,0.7606646005177626,0.04801996820855159,0.8329427258713711,0.016069442087218166,0.8956906299244031,0.19410533478258174
17,0.7666622981360306,0.26521254443971165,0.12804136129085508,0.422651216958394,0.28053723345223003,0.10788393860253842,0.4071319933574309,0.5507721492757092,0.22890174780538786,0.84005184689775
18,0.25378025721925723,0.27158016182521105,0.7285359426022708,0.01463629304223879,0.28046191407765286,0.6042677348039506,0.13643656647475355,0.24597614654037936,0.2607221696454384,0.7891835942933356
19,0.9611197502892078,0.2929107875712732,0.7738258411986463,0.684767464513866,0.20108825957621845,0.6562228988607482,0.8511884894481697,0.31166104900544167,0.2507821807372781,0.49902330263968253
20,0.8017782076880101,0.12306599758980219,0.9374158928435989,0.973368734120096,0.1208709915545173,0.4042546341779124,0.4994955368024354,0.17830359863799095,0.7546541592258799,0.687449518993336
21,0.7644122670785175,0.23118657117955732,0.3141541337135707,0.21522983827732056,0.5518833684330363,0.6304752045318494,0.5735298477729955,0.6062706342079942,0.10898865910135658,0.3509401790244039
22,0.7147683831187308,0.5119538722756704,0.6060647383245844,0.8599916423474648,0.9817382167443457,0.6573831524008237,0.4925062099836196,0.7485582249415068,0.7656502929537111,0.33894308936601547
23,0.15884732239701027,0.5625941522960669,0.826176176339011,0.7623522849407184,0.5354502911614049,0.1011133841606936,0.35649817455560495,0.24228530394220227,0.4677170355896031,0.22352269504835098
24,0.5382711564746921,0.28233413278634667,0.6126804787131329,0.7524572355821132,0.33932296213290103,0.5261009953864539,0.33480180029644735,0.6057165504197936,0.5988065036205014,0.8979830242226309
25,0.07833484202086882,0.5452440144324827,0.8808293366490215,0.4740187599541199,0.6563206830344424,0.9348055481409924,0.18858347313315238,0.6770722395817713,0.1309871015002928,0.37813290661440013
26,0.6745616024741149,0.8298802977776251,0.8868884278297251,0.5748497365895708,0.8391359398114702,0.804240394287937,0.7859100234668799,0.25787819520246325,0.22614487640008762,0.7114391887166185
27,0.7694298558217202,0.5401420441432591,0.7086783033050623,0.02193014359704981,0.9061326685221303,0.3326887387351204,0.01886162349013465,0.9548485438899886,0.010415338964926302,0.2997060471784676
28,0.5143567316946057,0.4355352506329422,0.7795696226212779,0.4245936202620211,0.7449524059598291,0.5458703387671155,0.08968104626493778,0.6436090853342591,0.23311534166656123,0.23783627090592752
29,0.6319513670439618,0.3776170332992286,0.41636616695847395,0.06846791920057116,0.34175304908412507,0.3033398360681414,0.11825369129134411,0.13619876416801524,0.198765703829332,0.02980727683146711
