time,output_0,output_1
0,1.460672813775764,0.02503930190529524
1,1.224895650685744,-0.08211131963851415
2,0.9565863004775237,0.07921830738779712
3,0.6411083165151227,-0.117803834744305
4,1.1265186747260971,-0.04944829127767769
5,0.766480374331049,0.2529200426956394
6,1.1406605300991872,-0.06941656539519714
7,1.2587640620118918,0.13685587816107114
8,1.5640238708073935,0.8773380972694137
9,0.27968207692045166,-0.15336068688304105
10,1.5603485351927693,0.39534264739028957
11,0.2033900955206719,-0.8182162507119253
12,1.0323674452335458,0.17482865743565745
13,0.4244385163130886,-0.8857444944378617
14,0.5850328072618888,0.08421561771446984
15,0.8499140662372433,-0.20857905875200733
16,0.33336310881813447,-0.41391781047697784
17,0.9671887259970467,0.0072897105302185405
18,0.8568753942478382,0.030313956208493753
19,1.7085719255092386,0.317900311565426
20,1.4289784198403421,0.10149175093714236
21,1.063327471452714,0.13886732015896874
22,1.152663317133219,-0.7135102700768402
23,1.5622877774418482,0.46481215332487114
24,1.611419266716569,0.043034177258447937
25,0.7212604256532691,0.33604672051413764
26,0.7134029648474955,-0.5213433322767003
27,0.9727148310096995,0.03836345599665114
28,0.9210564997017873,-0.2369670660643728
29,1.3836239805620325,0.34470169878959267
30,1.2722266876844297,-0.20592993363738954
31,1.7579059214740016,0.8993040058645337
32,0.8434392438785553,0.3856207521740693
33,0.8791997038970836,-0.3933846100350382
34,0.6797133953178485,-0.21231514228747073
35,0.5344482358055195,0.15228779178861995
36,0.73980172733647,-0.3579692224983634
37,0.26080479437024406,-0.7640407707147154
38,1.0040211518217146,0.023238499440792926
39,1.4232212451220652,-0.09836993933202332
40,1.6390022738658432,0.39136368956404566
41,0.9373717614631302,0.5949098290441115
42,0.8843663185768853,-0.023666429520650456
43,1.3448049167481608,0.17301069552331771
44,0.8886667755040291,0.4932257129691777
45,0.8504812949422287,-0.15133246332901196
46,0.1389005869332557,-0.3071840240878324
47,1.63299308441955,-0.0006978840478023551
48,1.1687111913654191,0.4308228708870002
49,0.682775570521333,-0.5550945909745743
50,1.413317858830902,0.17683801333791227
51,0.19839530548309203,0.11734959238067622
52,1.296759642354087,0.01920069996487561
53,0.6063930762660538,-0.24457342506670154
54,0.6614506963991297,-0.004150258699012199
55,0.8852563167247228,0.5481442109032795
56,0.9129900468340661,0.38397005056226563
57,0.7983409528148834,-0.186762183463261
58,0.8725056653843086,0.5041360032194827
59,0.773004953750234,-0.4412997673123925
60,1.14517588287196,0.2956032038919263
61,0.9465893990656687,0.6060920431812473
62,1.2290910830121553,-0.1870737081886269
63,0.7809700470564661,-0.13161349240801568
64,1.0777857115694327,-0.03723460666654099
65,1.2169959126838155,-0.37577278272483283
66,1.2568793479462688,-0.0405471046951178
67,0.7317336624923388,-0.28144705806330494
68,0.4385850380711136,-0.5057930815004532
69,1.179970379679634,0.6460226196876919
70,0.6662051020767396,0.18769712165373154
71,1.316193412018519,-0.10675103491698834
72,1.5128380050782129,0.466227133471635
73,1.018575422826749,0.21174446464893149
74,0.6947269638550534,-0.22741663240175114
75,1.1395000584216284,-0.6501768061360468
76,1.6271976928029244,0.807936426205207
77,0.9728687353789267,-0.4060100789540665
78,1.0297423531964824,-0.5030564825694578
79,1.2119456384065663,-0.014095032666816776
80,1.2016881761172957,0.3557619372373232
81,1.0258047917895148,0.32877266614683753
82,1.3474866661773088,0.7645950097093516
83,0.6057650340086317,-0.01361719892875779
84,1.357386701660876,0.3093139130596627
85,1.2312759716281856,0.625235633735848
86,1.2581554124708614,0.36425979728643776
87,1.703237280554954,0.7214441438812447
88,1.224024844210538,0.24171328717862128
89,1.4112613531227702,0.3130248760695362
90,1.3878318040462394,0.8409340051709097
91,1.3708484259844307,0.4167458536918556
92,0.9982865543087471,0.45510048226503164
93,1.4114336337678042,0.07062921769457031
94,1.1217514756035891,-0.7429697055210587
95,0.9570069094513561,-0.32173552308038644
96,1.7435092438939068,0.06601681028654194
97,1.3458967326480553,0.05674955638032997
98,1.481615450963683,0.6930448587191533
99,0.9721830720921154,0.10585273828652675
